Date,Year,Type,Country,State,Location,Activity,Sex,Age,Injury,Time
08-Oct-2022,2022.0,Unprovoked,USA,Louisiana,25 miles off Empire,Shipwreck,M,40,Hand bitten,
02-Oct-2022,2022.0,Unprovoked,USA,California,Centerville Beach,Surfing,M,31,Thigh injured,15h30
22-Sep-2022,2022.0,Unprovoked,USA,Florida,"Marathon, Monroe County",Spearfishing,M,26,Severe injuries to right arm,
03-Sep-2022,2022.0,Unprovoked,USA,Hawaii,"Lower Paia Beach Park, Maui",Swimming  or Snorkeling,F,51,Injuries to left arm and right hand,16h10
15-Aug-2022,2022.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Swimming,F,,Minor injury to leg,11h17
15-Aug-2022,2022.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",Standing,F,,Multiple lLacerations to right forearm,12h00
13-Aug-2022,2022.0,Unprovoked,USA,Florida,"Looe Key, Monroe County",Snorkeling,M,10,"Lower left leg severely bitten, necessitating surgical amputation",16h00
10-Aug-2022,2022.0,Unprovoked,USA,California,"Lovers Point, Pacific Grove, Monterey County",Paddleboarding,M,,"No injury, board bitten",11h30
27-Jul-2022,2022.0,Unprovoked,USA,Florida,"Florida Keys, Monroe County",Lobstering,M,13,Injury to upper lip,
25-Jul-2022,2022.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",Wading,M,33,Minor bite to left  foot,15h00
20-Jul-2022,2022.0,Unprovoked,USA,New York,"Kismet Beach, Long Island",Surfing,M,16,Four-inch cut to right foot,17h45
19-Jul-2022,2022.0,Questionable,USA,Florida,"Cape Canaveral, Brevard County",,,,minor injuries,10jh45
19-Jul-2022,2022.0,Unprovoked,USA,Noirth Carolina,"Topsail Beach, Pender County",Surfing,F,,Lacerations to lower leg,Early  morning
17-Jul-2022,2022.0,Provoked,USA,Florida,"Content Keys, Monroe County",Fishing,M,,Fingrt bitten while releasing hooked shark PROVOKED INCUDEBT,17h30
16-Jul-2022,2022.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",,F,40,Minor lacerations to left calf,13h12
13-Jul-2022,2022.0,Unprovoked,USA,New York,"Seaview Beach, Suffolk County",,M,49,Left wrist and buttocks bitten,18h00
13-Jul-2022,2022.0,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Surfing,M,41,Two-inch laceration to leg,07h30
10-Jul-2022,2022.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,30s,Minor injury to foot,
07-Jul-2022,2022.0,Unprovoked,USA,New York,"Ocean Beach, Long Island",Lifeguard Training Exercise,M,17,Minor injury to foot,11hoo
03-Jul-2022,2022.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,28,Foot bitten,11h43
03-Jul-2022,2022.0,Unprovoked,USA,New York,"Smith Point Beach, Suffolk County",Lifeguard Exercises,M,,Injuries to chest and right hand,10h15
30-Jun-2022,2022.0,Unprovoked,USA,New York,"Jones Beach, Nassau County",Swimming,M,,Injury to right foot,13h00
30-Jun-2022,2022.0,Unprovoked,USA,Florida,"Keaton Beach, ",Scalloping,F,17,Severe bites to leg,15h00
29-Jun-2022,2022.0,Unprovoked,USA,Florida,"Sawyer Key , Monroe County",Swimming,F,35,Laceration to leg,20h00
29-Jun-2022,2022.0,Unprovoked,USA,Florida,"Summerland Key, Monroe County",Jumped into water,M,,Laceration to leg,Afternoon
23-Jun-2022,2022.0,Unprovoked,USA,Florida,"Redington Beach, Pinellas County",,F,,Leg bitten,
22-Jun-2022,2022.0,Unprovoked,USA,California,"Pacific Grove, Monterey County",Swimming,M,62,Stomach and leg injuries including a broken femur,10h40
21-Jun-2022,2022.0,Unprovoked,USA,South Carolina,"Myrtle Beach, Horry County",,M,teen,,
03-May-2022,2022.0,Provoked,USA,Georgia,"Île de Saint Simon, Glynn County",Fishing,M,,Thumb bitten by hooked shark PROVOKED INCIDENT,19h12
17-Apr-2022,2022.0,Unprovoked,USA,Florida,"Whale Harbor, Islamorada, Monroe County",, M,56,Laceration to lower leg,16h00
12-Apr-2022,2022.0,Unprovoked,USA,Alabama,"Gulf Shores, Baldwin County",Swimming,M,17,Bite to right foot,Afternoon
11-Apr-2022,2022.0,Unprovoked,USA,Florida,"Higkand Beach, Palm Beach County",Standing,M,Teen,Bite near big toe,16h00
09-Apr-2022,2022.0,Provoked,USA,New Jersey,Tutle Back Zoo,Feeding sharks & stingrays,F,12,Finger nipped by captive shark PROVOKED INCIDENT,Afternoon
07-Apr-2022,2022.0,Unprovoked,USA,Florida,Canaveral National Seashore,Kayaking,M,,No injury to occupants. Kayak bitten,10h00
31-Mar-2022,2022.0,Provoked,USA,Florida,"Lake Worth Beach, Palm Beach County",Fishing,M,50s,Knee bitten                    PROVOKED INCIDENT,Morning
13-Mar-2022,2022.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,20,Bite to right foot,15h00
09-Mar-2022,2022.0,Provoked,USA,Florida,"New Smyrna Beach, Volusia County",Fishing,M,21,Minor injuries to knee and calf of left leg                            PROVOKED INCIDENT                 ,15h30
26-Feb-2022,2022.0,Unprovoked,USA,California,"San Miguel Islandl, Santa Barbara County",Boogie boarding,M,42,FATAL,11h24
11-Feb-2022,2022.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,18,Puncture wounds to foot,17h30
06-Jan-2022,2022.0,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Wing Foil Surfing,F,42,Punctures to leg,14h45
22-Dec-2021,2021.0,Unprovoked,USA,Florida,"Anna Maria Island, Manatee County",Wing Foil Surfing,F,42,Punctures to leg,
04-Dec-2021,2021.0,Unprovoked,USA,Hawaii,"Banyans, Kailua-Kona",Surfing,M,,Arm bitten,
07-Nov-2021,2021.0,Unprovoked,USA,Hawaii,"Lahaina, Maui",Spearfishing,F,27,Leg bitten,10h30
04-Oct-2021,2021.0,Unprovoked,USA,Florida,"Fort Pierce State Park, St. Lucie County",Surfing,M,25,`Left foot bitten,
03-Oct-2021,2021.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",Swimming,M,,Injury to lower left leg,12h00
03-Oct-2021,2021.0,Unprovoked,USA,California,"Salmon Creek Beach, Sonoma County",Surfing,M,38,Injury to posterior left thigh,09h00
09-Sep-2021,2021.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,!6,Minor injury to right arm,13h20
03-Sep-2021,2021.0,Unprovoked,USA,Louisiana,off Grand Isle,"Fishing, fell in water",M,64,Severe injury to leg,14h00
28-Aug-2021,2021.0,Unprovoked,USA,Texas,"Galveston Island, Galveston County",Boogie boarding,M,!!,Lacerations both sides of lower leg immediately above the ankle,11h45
21-Aug-2021,2021.0,Unprovoked,USA,Florida,"Walton Beach Psrk, St. Lucie County",Surfing,M,41,Left ankle and foot bitten,06h40
07-Aug-2021,2021.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,35,Minor cuts to right foot and ankle,10h00
07-Aug-2021,2021.0,Unprovoked,USA,Florida,"Key Largo, Monroe County",Snorkeling,M,15,Lacerations to legs,07h51
03-Aug-2021,2021.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",,M,,Lacerations to lower body,11h46
02-Aug-2021,2021.0,Unprovoked,USA,Maryland,"Ocean City, Worcester County",Swimming,F,12,Lacerations and puncture wounds to lower left leg,15h00
30-Jul-2021,2021.0,Provoked,USA,Florida,"Ponce Inlet, Volusia County",Fishing,M,47,Hands bitten while attempting to unhook shark               PROVOKED INCIDENT,11h00
27-Jul-2021,2021.0,Unprovoked,USA,North Carolina,Wrightsville Beach,Standing,M,15,Lower left leg bitten,13h30
27-Jul-2021,2021.0,Unprovoked,USA,Georgia,"Tybee Island, Chatham County",Surfing,M,58,Lower left leg bitten,
26-Jul-2021,2021.0,Unprovoked,USA,New York,"Jones Beach, Nassau County",Swimming,M,,Minor injury to calf ,11h00
21-Jul-2021,2021.0,Unprovoked,USA,California,"Capitola Beach, Santa Cruz County",Surfing,F,,No injury,
21-Jul-2021,2021.0,,USA,Florida,"Near Patrick AFB, Brevard County",,F,35,"Small laceration to ankle, shark involvement not confirmed",12h23
15-Jul-2021,2021.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,M,11,Leg bitten,16h30
10-Jul-2021,2021.0,Unprovoked,USA,Florida,"Bathtub Beach, Martin County",Playing,F,9,Right foot bitten,16h39
10-Jul-2021,2021.0,Unprovoked,USA,Florida,"46 miles off Mayport, Duval County",Spearfishing,M,36,Shark involvement prior to death not confirmed,
04-Jul-2021,2021.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Standing,M,8,Puncture wound to calf,16h00
04-Jul-2021,2021.0,Provoked,USA,BAHAMAS,,Spearfishing,F,19,PROVOKED INCIDENT Lacerations to right hand,
30-Jun-2021,2021.0,Unprovoked,USA,California,"Catalina Island, Orange County",Canoeing,M,15,Hand injured,07h15
28-Jun-2021,2021.0,Unprovoked,USA,Florida,"Block Houe Beach, Brevard County",Surfing,F,,Lacerations to thigh and calf,
27-Jun-2021,2021.0,Unprovoked,USA,North Carolina,"Ocean Isle, Brunswick County",Swimming,F,7,Calf bitten,11h30
26-Jun-2021,2021.0,Unprovoked,USA,California,"Gray Whale Beach Cove State Beach, San Mateo County",Swimming,M,38,Posterior right thigh bitten,09h15
18-Jun-2021,2021.0,Unprovoked,USA,Florida,"Bethune Beach, Volusia County",Standing,M,12,Left arm bitten,15h57
17-Jun-2021,2021.0,Unprovoked,USA,Florida,"Grayton Beach State Park,   Walton County",Swimming,M,14,"""superficial injuries:",14h30
14-Jun-2021,2021.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,12,Right calf bitten,
14-Jun-2021,2021.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,71,Minor injury to right foot,
23-May-2021,2021.0,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",Swimming,M,26,Minor injuries to foot and ankle,
15-May-2021,2021.0,Unprovoked,USA,Hawaii,"Kanaha Beach Park, Maui",Kite Foiling,M,35,2- to 3-inch cuts to posterior thigh,16h45
06-May-2021,2021.0,Unprovoked,USA,Florida,"Daytona Beach Shores, Volusia County",Wading,F,21,Nick on foot,11h30
03-May-2021,2021.0,Unprovoked,USA,Hawaii,"Marine Corps Base, Oahu",Surfing,M,14,Lacerations to shin and calf,16h00
30-Apr-2021,2021.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,64,Foot bitten,09h00
29-Apr-2021,2021.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",Boggie boarding,M,54,Right leg bitten,10j30
20-Apr-2021,2021.0,Unprovoked,USA,Hawaii,Kukio Bay,Swimming,F,57,Puncture wound to knee,08h56
17-Apr-2021,2021.0,Provoked,USA,North Carolina,Outer Banks,Tagging sharks,,,"No injury to occupants, shark bit boat after being tagged",
02-Apr-2021,2021.0,Unprovoked,USA,Florida,"Key Biscayne, Miami-Dade County",Swimming,M,36,1-inch cut to leg,
30-Mar-2021,2021.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",,M,,Cuts to both feet,13h00
25-Mar-2021,2021.0,Unprovoked,USA,Florida,Indian River County,,F,16,"Injuries to hands, arm and knees",11h45
25-Mar-2021,2021.0,Unprovoked,USA,Florida,"Fort Lauderdale, Broward County",Swimming,M,7,Lacerations to right hand,
21-Mar-2021,2021.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Body surfing,M,9,Left shoulder bitten,14h00
18-Mar-2021,2021.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",Wading,M,20,Left forearm bitten,Afternoon
06-Feb-2021,2021.0,Unprovoked,USA,Hawaii,"Waiokapua Bay, Kaui",Surfing,M,,"No injury, surfboard bitten",16h30
02-Feb-2021,2021.0,Watercraft,USA,Maui,Ukumehama ,Kayaking,M,45 and 15,"No injury, kayak bitten",14h00
22-Jan-2021,2021.0,Watercraft,USA,Florida,Off Tampa Bay,Fishing,,,No injury to occupants,
22-Jan-2021,2021.0,Unprovoked,USA,Hawaii,Maui,Snorkeling,M,73,Puncture wounds to left calf,07h45
03-Jan-2021,2021.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,19,"No injury, board damaged",10h30
02-Jan-2021,2021.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,17,1.5 cut to ankle,10h30
02-Jan-2021,2021.0,Unprovoked,USA,Hawaii,"Anaehoomalu Bay
Waikoloa, Hawaii County",Swimming,F,68,Significant injury to right lower leg,08h00
30-Dec-2020,2020.0,Unprovoked,USA,California,"Coronado, San Diego County",Swimming,M,,No injury. Swim fin bittten,Afternoon
08-Dec-2020,2020.0,Unprovoked,USA,Hawaii,Honolua Bay,Surfing,M,56,FATAL,07h45
06-Dec-2020,2020.0,Unprovoked,USA,Oregon,"Seaside Cove, Clatsop County",Surfing,M,20,Non-life-threatening to left lower leg & foot,15h20
26-Nov-2020,2020.0,Unprovoked,USA,Hawaii,Maui,Snorkeling,F,35,Severe injury to torso,14h00
31-Oct-2020,2020.0,Unprovoked,USA,Florida,Ormond Beach,Swimming,M,17,Minor injuries,16h00
29-Oct-2020,2020.0,Unprovoked,USA,"Franklin County, Florida",St George Island,Surfing,M,,Hand bitten,13h00
21-Oct-2020,2020.0,,USA,North Carolina,"Emerald Isle, Carteret County",Surfing,M,,Laceration to knee and foot,Sunset
07-Oct-2020,2020.0,Unprovoked,USA,Florida,"Miami Beach, Miami-Dade County",Body Surfing,M,31,Laceration to lower leg,Afternoon
29-Sep-2020,2020.0,Provoked,USA,Florida,Near Key Largo,,M,,Minor lacerations to right foot when he stepped on the shark PROVOKED INCIDENT,
21-Sep-2020,2020.0,,USA,Hawaii,"Charley Young Beach, Maui",Swimming,F,61,Lacerations and puncture wounds to shoulder,11h00
20-Sep-2020,2020.0,Unprovoked,USA,Florida,"Sombero Key Light, Monroe County",Snorkeling,M,30,Severe bite to shoulder,10h30
16-Sep-2020,2020.0,,USA,Florida,"Daytona Beach Shores, Volusia County",Swimming,M,48,Minor cuts and punctures to left foot,15h20
15-Sep-2020,2020.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",Surfing,M,15,Cuts to right hand and wrist,10h45
15-Sep-2020,2020.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Surfing,M,25,Left arm bitten,08h15
08-Sep-2020,2020.0,,USA,Florida,Canaveral National Seashore,Surf fishing,M,54,Hand bitten that was holding a fish PROVOKED INCIDENT,
06-Sep-2020,2020.0,Unprovoked,USA,Hawaii,Puako,Snorkeling,F,70,Ankle bitten,16h30
02-Sep-2020,2020.0,Unprovoked,USA,Florida,"Jensen Beach, Martin County",,M,,Minor injury to forearm,
30-Aug-2020,2020.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",Surfing,M,12,Injury to right foot and ankle,11h30
28-Aug-2020,2020.0,Unprovoked,USA,California,"Shelter Cove, Humboldt County",Kayak fishing,M,,"No injury, kayak damaged",Afternoon
23-Aug-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,23,Minor injury to foot,15h00
22-Aug-2020,2020.0,Unprovoked,USA,Florida,"St. Augustine Beach, Anastasia Island, St. Johns County",Surfing,M,14,Lacerations to sole of left foot,Morning
20-Aug-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Boogie boarding,F,50,Minor lacerations to left leg,11h00
19-Aug-2020,2020.0,,USA,South Carolina,"Myrtle Beach, Horry County",Wading,F,,Minor injury to arm by a fish,1415
10-Aug-2020,2020.0,Provoked,USA,Florida,"Off Gasparilla Island, Charlotte County",Fishing,M,55,Injury to left forearm by hooked shark PROVOKED INCIDENT,16h00
02-Aug-2020,2020.0,Unprovoked,USA,Virgin Islands,"Candle Reef, St. Croix",Snorkeling,F,,Lacerations to hand and wrist,14h00
01-Aug-2020,2020.0,Unprovoked,USA,North Carolina,"Surf City, Pender County",Surfing,M,54,"No Injury, but board bitten",14h00-15h00
31-Jul-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,F,22,Lacerations to foot ,17h00
31-Jul-2020,2020.0,Unprovoked,USA,Alabama,"Orange Beach, Baldwin County",Swimming,M,14,Lacerations to foot and toes,13h00
29-Jul-2020,2020.0,Unprovoked,USA,Florida,Florida Keys,Diving,M,38,Lower leg bitten,
27-Jul-2020,2020.0,Unprovoked,USA,Maine,"Bailey Island, Cumberland County",Swimming,F,63,FATAL,15h59
23-Jul-2020,2020.0,Unprovoked,USA,Bahamas,Spanish Cay,Spearfishing,M,23,Lacerations to legs,12h00
23-Jul-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Standing,M,11,Foot bitten,
22-Jul-2020,2020.0,Unprovoked,USA,North Carolina,"Neuse River, Craven County",Treading water,M,,Left calf & foot bitten,17h30
19-Jul-2020,2020.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Wading,F,12,Right leg bitten,Afternoon
14-Jul-2020,2020.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",Wading,F,14,Severe bite to right foot,
10-Jul-202,2020.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,F,15,Minor injury to right foot,08h00
22-Jun-2020,2020.0,Unprovoked,USA,Florida,"Homestead, Miami-Dade County",Playing,M,7,Cuts to lower leg,
20-Jun-2020,2020.0,Unprovoked,USA,North Carolina,"Salvo, Dare County",Body Surfing,M,16,Injury to thigh,16h00
04-Jun-2020,2020.0,,USA,Delaware,"Herring Point, Sussex County",Skimboarding,M,12,Puncture wounds to leg,13h00
01-Jun-2020,2020.0,Unprovoked,USA,Hawaii,"Davidsons Beach, Kauai",Surfing,M,,Cut to index finger of hand,08h30
09-May-2020,2020.0,Unprovoked,USA,California,"Sand Dollar Beach, Santa Cruz County",Surfing,M,26,FATAL,13h30
01-May-2020,2020.0,Unprovoked,USA,California,"Summerland, Santa Barbara County",Swimming,F,57,2 lacerations to foot,14h30
29-Apr-2020,2020.0,,USA,California,"Moonlight Beach, San Diego County",Body Boarding,M,16,Minor injury to ankle from stingray ,17h45
07-Apr-2020,2020.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,F,,Foot bitten,10h00
27-Mar-2020,2020.0,Unprovoked,USA,California,"Pleasure Point, Santa Cruz County",Stand-Up Paddleboarding,M,Teen,"No injury, paddleboard bitten",Evening
22-Mar-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,Left foot bitten ,12h20
22-Mar-2020,2020.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,,Left foot bitten when he jumped on the shark  PROVOKED INCIDENT,10h50
05-Feb-2020,2020.0,Unprovoked,USA,Maui,Wailea,Stand-Up Paddle boarding,M,,"No injury, but paddleboard bitten",09h40
13-Jan-2020,2020.0,Unprovoked,USA,North Carolina,"Rodanthe, Dare County",Surfing,M,26,Lacerations to foot,14h33
21-Dec-2019,2019.0,Unprovoked,USA,California,"Santa Rosa Island, Ventura County",Surfing,M,37,Right leg bitten,16h15
03-Dec-2019,2019.0,Unprovoked,USA,Hawaii,"Cove Park, Kihei, Maui",Stand-Up Paddleboarding,M,57,"No injury, inflatable paddle board was bitten by the shark",10h00
30-Nov-2019,2019.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",Surfing,M,9,"No injury, knocked from his board by the shark",
12-Nov-2019,2019.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",Surfing,M,30,Lacerations to left foot,
06-Nov-2019,2019.0,Unprovoked,USA,California,"San Onofre, San Diego County ",Surfing,F,,"No inury, knocked from board",08h00
